company_name,acct_no,DIN,pred_3rd_party_check,authorized_signer,trans_am
Roman-Steele,VURS58427911551566,56780316,True,Edward Perez,6437
"Neal, White and Potts",JUAV42809843672598,52066098,True,Anita Mcdonald,836
Hamilton-Pineda,EEMW19128484832784,87247738,False,Bonnie Morse,3734
Thomas-Santos,AQFR92854441821327,15527722,False,Zachary Sanford,2835
"Conner, Abbott and Pope",YYNC32763011099427,97099337,True,Chelsea Jones,3231
Elliott and Sons,BBKM83115787439385,12193895,False,Shaun Ramirez,3608
Anthony-Trujillo,GODJ65240896368457,12305278,False,James Larson,6013
Morrow-Garrison,QGXW92287136439054,12162842,True,Michael Jordan,7495
Cuevas Inc,QFTK13105924809929,91784163,False,Julie Brown,3708
Jackson-Allen,YMGX13627693186856,68033644,False,Leon Stewart,1588
Nelson-Thomas,WYPF29502575153217,41819653,False,Angela Ferguson,2456
"Schmidt, Best and Carpenter",WXHH33552781376393,89479306,True,Lisa Allen,5567
